Rank,NOC_x,Gold,Silver,Bronze,Total,Year,NOC_y,Host_City,Sport,Sports_Participation_Count
2,99.0,10,18,19,47,1896,101.0,2,4.0,0.0
2,99.0,10,18,19,47,1896,101.0,2,4.0,4.0
2,99.0,10,18,19,47,1896,101.0,2,4.0,0.0
2,99.0,10,18,19,47,1896,101.0,2,5.0,0.0
2,99.0,10,18,19,47,1896,101.0,2,9.0,12.0
2,99.0,10,18,19,47,1896,101.0,2,10.0,0.0
2,99.0,10,18,19,47,1896,101.0,2,13.0,0.0
2,99.0,10,18,19,47,1896,101.0,2,13.0,0.0
2,99.0,10,18,19,47,1896,101.0,2,14.0,0.0
2,99.0,10,18,19,47,1896,101.0,2,14.0,0.0
2,99.0,10,18,19,47,1896,101.0,2,15.0,0.0
2,99.0,10,18,19,47,1896,101.0,2,17.0,0.0
2,99.0,10,18,19,47,1896,101.0,2,18.0,0.0
2,99.0,10,18,19,47,1896,101.0,2,21.0,0.0
2,99.0,10,18,19,47,1896,101.0,2,21.0,0.0
2,99.0,10,18,19,47,1896,101.0,2,22.0,0.0
2,99.0,10,18,19,47,1896,101.0,2,23.0,0.0
2,99.0,10,18,19,47,1896,101.0,2,24.0,0.0
2,99.0,10,18,19,47,1896,101.0,2,24.0,0.0
2,99.0,10,18,19,47,1896,101.0,2,24.0,0.0
2,99.0,10,18,19,47,1896,101.0,2,24.0,1.0
2,99.0,10,18,19,47,1896,101.0,2,24.0,5.0
2,99.0,10,18,19,47,1896,101.0,2,34.0,0.0
2,99.0,10,18,19,47,1896,101.0,2,34.0,0.0
2,99.0,10,18,19,47,1896,101.0,2,34.0,0.0
2,99.0,10,18,19,47,1896,101.0,2,34.0,0.0
2,99.0,10,18,19,47,1896,101.0,2,34.0,0.0
2,99.0,10,18,19,47,1896,101.0,2,36.0,3.0
2,99.0,10,18,19,47,1896,101.0,2,37.0,0.0
2,99.0,10,18,19,47,1896,101.0,2,39.0,0.0
2,99.0,10,18,19,47,1896,101.0,2,40.0,0.0
2,99.0,10,18,19,47,1896,101.0,2,41.0,0.0
2,99.0,10,18,19,47,1896,101.0,2,42.0,8.0
2,99.0,10,18,19,47,1896,101.0,2,42.0,0.0
2,99.0,10,18,19,47,1896,101.0,2,42.0,0.0
2,99.0,10,18,19,47,1896,101.0,2,43.0,0.0
2,99.0,10,18,19,47,1896,101.0,2,43.0,0.0
2,99.0,10,18,19,47,1896,101.0,2,47.0,0.0
2,99.0,10,18,19,47,1896,101.0,2,48.0,0.0
2,99.0,10,18,19,47,1896,101.0,2,49.0,0.0
2,99.0,10,18,19,47,1896,101.0,2,50.0,0.0
2,99.0,10,18,19,47,1896,101.0,2,50.0,0.0
2,99.0,10,18,19,47,1896,101.0,2,53.0,0.0
2,99.0,10,18,19,47,1896,101.0,2,55.0,0.0
2,99.0,10,18,19,47,1896,101.0,2,56.0,0.0
2,99.0,10,18,19,47,1896,101.0,2,59.0,0.0
2,99.0,10,18,19,47,1896,101.0,2,60.0,0.0
2,99.0,10,18,19,47,1896,101.0,2,60.0,0.0
2,99.0,10,18,19,47,1896,101.0,2,61.0,0.0
2,99.0,10,18,19,47,1896,101.0,2,61.0,0.0
2,99.0,10,18,19,47,1896,101.0,2,63.0,0.0
2,99.0,10,18,19,47,1896,101.0,2,64.0,5.0
2,99.0,10,18,19,47,1896,101.0,2,65.0,0.0
2,99.0,10,18,19,47,1896,101.0,2,67.0,0.0
2,99.0,10,18,19,47,1896,101.0,2,68.0,0.0
2,99.0,10,18,19,47,1896,101.0,2,69.0,0.0
2,99.0,10,18,19,47,1896,101.0,2,72.0,0.0
2,99.0,10,18,19,47,1896,101.0,2,73.0,0.0
2,99.0,10,18,19,47,1896,101.0,2,74.0,2.0
2,99.0,10,18,19,47,1896,101.0,2,80.0,0.0
2,99.0,10,18,19,47,1896,101.0,2,81.0,0.0
2,99.0,10,18,19,47,1896,101.0,2,83.0,0.0
2,99.0,10,18,19,47,1896,101.0,2,83.0,0.0
2,99.0,10,18,19,47,1896,101.0,2,84.0,0.0
2,99.0,10,18,19,47,1896,101.0,2,86.0,2.0
2,99.0,10,18,19,47,1896,101.0,2,87.0,0.0
2,99.0,10,18,19,47,1896,101.0,2,87.0,1.0
2,99.0,10,18,19,47,1896,101.0,2,76.0,43.0
2,99.0,10,18,19,47,1896,101.0,2,75.0,10.0
2,99.0,10,18,19,47,1896,101.0,2,77.0,11.0
3,69.0,6,5,2,13,1896,101.0,2,4.0,0.0
3,69.0,6,5,2,13,1896,101.0,2,4.0,0.0
3,69.0,6,5,2,13,1896,101.0,2,4.0,0.0
3,69.0,6,5,2,13,1896,101.0,2,4.0,4.0
3,69.0,6,5,2,13,1896,101.0,2,4.0,0.0
3,69.0,6,5,2,13,1896,101.0,2,5.0,0.0
3,69.0,6,5,2,13,1896,101.0,2,9.0,12.0
3,69.0,6,5,2,13,1896,101.0,2,10.0,0.0
3,69.0,6,5,2,13,1896,101.0,2,13.0,0.0
3,69.0,6,5,2,13,1896,101.0,2,13.0,0.0
3,69.0,6,5,2,13,1896,101.0,2,14.0,0.0
3,69.0,6,5,2,13,1896,101.0,2,14.0,0.0
3,69.0,6,5,2,13,1896,101.0,2,15.0,0.0
3,69.0,6,5,2,13,1896,101.0,2,17.0,0.0
3,69.0,6,5,2,13,1896,101.0,2,18.0,0.0
3,69.0,6,5,2,13,1896,101.0,2,21.0,0.0
3,69.0,6,5,2,13,1896,101.0,2,21.0,0.0
3,69.0,6,5,2,13,1896,101.0,2,22.0,0.0
3,69.0,6,5,2,13,1896,101.0,2,23.0,0.0
3,69.0,6,5,2,13,1896,101.0,2,24.0,0.0
3,69.0,6,5,2,13,1896,101.0,2,24.0,0.0
3,69.0,6,5,2,13,1896,101.0,2,24.0,0.0
3,69.0,6,5,2,13,1896,101.0,2,24.0,1.0
3,69.0,6,5,2,13,1896,101.0,2,24.0,5.0
3,69.0,6,5,2,13,1896,101.0,2,34.0,0.0
3,69.0,6,5,2,13,1896,101.0,2,34.0,0.0
3,69.0,6,5,2,13,1896,101.0,2,34.0,0.0
3,69.0,6,5,2,13,1896,101.0,2,34.0,0.0
3,69.0,6,5,2,13,1896,101.0,2,34.0,0.0
3,69.0,6,5,2,13,1896,101.0,2,36.0,3.0
3,69.0,6,5,2,13,1896,101.0,2,37.0,0.0
3,69.0,6,5,2,13,1896,101.0,2,39.0,0.0
3,69.0,6,5,2,13,1896,101.0,2,40.0,0.0
3,69.0,6,5,2,13,1896,101.0,2,41.0,0.0
3,69.0,6,5,2,13,1896,101.0,2,42.0,8.0
3,69.0,6,5,2,13,1896,101.0,2,42.0,0.0
3,69.0,6,5,2,13,1896,101.0,2,42.0,0.0
3,69.0,6,5,2,13,1896,101.0,2,43.0,0.0
3,69.0,6,5,2,13,1896,101.0,2,43.0,0.0
3,69.0,6,5,2,13,1896,101.0,2,47.0,0.0
3,69.0,6,5,2,13,1896,101.0,2,48.0,0.0
3,69.0,6,5,2,13,1896,101.0,2,49.0,0.0
3,69.0,6,5,2,13,1896,101.0,2,50.0,0.0
3,69.0,6,5,2,13,1896,101.0,2,50.0,0.0
3,69.0,6,5,2,13,1896,101.0,2,53.0,0.0
3,69.0,6,5,2,13,1896,101.0,2,55.0,0.0
3,69.0,6,5,2,13,1896,101.0,2,56.0,0.0
3,69.0,6,5,2,13,1896,101.0,2,59.0,0.0
3,69.0,6,5,2,13,1896,101.0,2,60.0,0.0
3,69.0,6,5,2,13,1896,101.0,2,60.0,0.0
3,69.0,6,5,2,13,1896,101.0,2,61.0,0.0
3,69.0,6,5,2,13,1896,101.0,2,61.0,0.0
3,69.0,6,5,2,13,1896,101.0,2,63.0,0.0
3,69.0,6,5,2,13,1896,101.0,2,64.0,5.0
3,69.0,6,5,2,13,1896,101.0,2,65.0,0.0
3,69.0,6,5,2,13,1896,101.0,2,67.0,0.0
3,69.0,6,5,2,13,1896,101.0,2,68.0,0.0
3,69.0,6,5,2,13,1896,101.0,2,69.0,0.0
3,69.0,6,5,2,13,1896,101.0,2,72.0,0.0
3,69.0,6,5,2,13,1896,101.0,2,73.0,0.0
3,69.0,6,5,2,13,1896,101.0,2,74.0,2.0
3,69.0,6,5,2,13,1896,101.0,2,80.0,0.0
3,69.0,6,5,2,13,1896,101.0,2,81.0,0.0
3,69.0,6,5,2,13,1896,101.0,2,83.0,0.0
3,69.0,6,5,2,13,1896,101.0,2,83.0,0.0
3,69.0,6,5,2,13,1896,101.0,2,84.0,0.0
3,69.0,6,5,2,13,1896,101.0,2,86.0,2.0
3,69.0,6,5,2,13,1896,101.0,2,87.0,0.0
3,69.0,6,5,2,13,1896,101.0,2,87.0,1.0
3,69.0,6,5,2,13,1896,101.0,2,76.0,43.0
3,69.0,6,5,2,13,1896,101.0,2,75.0,10.0
3,69.0,6,5,2,13,1896,101.0,2,77.0,11.0
4,87.0,5,4,2,11,1896,101.0,2,4.0,0.0
4,87.0,5,4,2,11,1896,101.0,2,4.0,0.0
4,87.0,5,4,2,11,1896,101.0,2,4.0,0.0
4,87.0,5,4,2,11,1896,101.0,2,4.0,4.0
4,87.0,5,4,2,11,1896,101.0,2,4.0,0.0
4,87.0,5,4,2,11,1896,101.0,2,5.0,0.0
4,87.0,5,4,2,11,1896,101.0,2,9.0,12.0
4,87.0,5,4,2,11,1896,101.0,2,10.0,0.0
4,87.0,5,4,2,11,1896,101.0,2,13.0,0.0
4,87.0,5,4,2,11,1896,101.0,2,13.0,0.0
4,87.0,5,4,2,11,1896,101.0,2,14.0,0.0
4,87.0,5,4,2,11,1896,101.0,2,14.0,0.0
4,87.0,5,4,2,11,1896,101.0,2,15.0,0.0
4,87.0,5,4,2,11,1896,101.0,2,17.0,0.0
4,87.0,5,4,2,11,1896,101.0,2,18.0,0.0
4,87.0,5,4,2,11,1896,101.0,2,21.0,0.0
4,87.0,5,4,2,11,1896,101.0,2,21.0,0.0
4,87.0,5,4,2,11,1896,101.0,2,22.0,0.0
4,87.0,5,4,2,11,1896,101.0,2,23.0,0.0
4,87.0,5,4,2,11,1896,101.0,2,24.0,0.0
4,87.0,5,4,2,11,1896,101.0,2,24.0,0.0
4,87.0,5,4,2,11,1896,101.0,2,24.0,0.0
4,87.0,5,4,2,11,1896,101.0,2,24.0,1.0
4,87.0,5,4,2,11,1896,101.0,2,24.0,5.0
4,87.0,5,4,2,11,1896,101.0,2,34.0,0.0
4,87.0,5,4,2,11,1896,101.0,2,34.0,0.0
4,87.0,5,4,2,11,1896,101.0,2,34.0,0.0
4,87.0,5,4,2,11,1896,101.0,2,34.0,0.0
4,87.0,5,4,2,11,1896,101.0,2,34.0,0.0
4,87.0,5,4,2,11,1896,101.0,2,36.0,3.0
4,87.0,5,4,2,11,1896,101.0,2,37.0,0.0
4,87.0,5,4,2,11,1896,101.0,2,39.0,0.0
4,87.0,5,4,2,11,1896,101.0,2,40.0,0.0
4,87.0,5,4,2,11,1896,101.0,2,41.0,0.0
4,87.0,5,4,2,11,1896,101.0,2,42.0,8.0
4,87.0,5,4,2,11,1896,101.0,2,42.0,0.0
4,87.0,5,4,2,11,1896,101.0,2,42.0,0.0
4,87.0,5,4,2,11,1896,101.0,2,43.0,0.0
4,87.0,5,4,2,11,1896,101.0,2,43.0,0.0
4,87.0,5,4,2,11,1896,101.0,2,47.0,0.0
4,87.0,5,4,2,11,1896,101.0,2,48.0,0.0
4,87.0,5,4,2,11,1896,101.0,2,49.0,0.0
4,87.0,5,4,2,11,1896,101.0,2,50.0,0.0
4,87.0,5,4,2,11,1896,101.0,2,50.0,0.0
4,87.0,5,4,2,11,1896,101.0,2,53.0,0.0
4,87.0,5,4,2,11,1896,101.0,2,55.0,0.0
4,87.0,5,4,2,11,1896,101.0,2,56.0,0.0
4,87.0,5,4,2,11,1896,101.0,2,59.0,0.0
4,87.0,5,4,2,11,1896,101.0,2,60.0,0.0
4,87.0,5,4,2,11,1896,101.0,2,60.0,0.0
4,87.0,5,4,2,11,1896,101.0,2,61.0,0.0
4,87.0,5,4,2,11,1896,101.0,2,61.0,0.0
4,87.0,5,4,2,11,1896,101.0,2,63.0,0.0
4,87.0,5,4,2,11,1896,101.0,2,64.0,5.0
4,87.0,5,4,2,11,1896,101.0,2,65.0,0.0
4,87.0,5,4,2,11,1896,101.0,2,67.0,0.0
4,87.0,5,4,2,11,1896,101.0,2,68.0,0.0
4,87.0,5,4,2,11,1896,101.0,2,69.0,0.0
4,87.0,5,4,2,11,1896,101.0,2,72.0,0.0
4,87.0,5,4,2,11,1896,101.0,2,73.0,0.0
4,87.0,5,4,2,11,1896,101.0,2,74.0,2.0
4,87.0,5,4,2,11,1896,101.0,2,80.0,0.0
4,87.0,5,4,2,11,1896,101.0,2,81.0,0.0
4,87.0,5,4,2,11,1896,101.0,2,83.0,0.0
4,87.0,5,4,2,11,1896,101.0,2,83.0,0.0
4,87.0,5,4,2,11,1896,101.0,2,84.0,0.0
4,87.0,5,4,2,11,1896,101.0,2,86.0,2.0
4,87.0,5,4,2,11,1896,101.0,2,87.0,0.0
4,87.0,5,4,2,11,1896,101.0,2,87.0,1.0
4,87.0,5,4,2,11,1896,101.0,2,76.0,43.0
4,87.0,5,4,2,11,1896,101.0,2,75.0,10.0
4,87.0,5,4,2,11,1896,101.0,2,77.0,11.0
5,92.0,2,3,2,7,1896,101.0,2,4.0,0.0
5,92.0,2,3,2,7,1896,101.0,2,4.0,0.0
5,92.0,2,3,2,7,1896,101.0,2,4.0,0.0
5,92.0,2,3,2,7,1896,101.0,2,4.0,4.0
5,92.0,2,3,2,7,1896,101.0,2,4.0,0.0
5,92.0,2,3,2,7,1896,101.0,2,5.0,0.0
5,92.0,2,3,2,7,1896,101.0,2,9.0,12.0
5,92.0,2,3,2,7,1896,101.0,2,10.0,0.0
5,92.0,2,3,2,7,1896,101.0,2,13.0,0.0
5,92.0,2,3,2,7,1896,101.0,2,13.0,0.0
5,92.0,2,3,2,7,1896,101.0,2,14.0,0.0
5,92.0,2,3,2,7,1896,101.0,2,14.0,0.0
5,92.0,2,3,2,7,1896,101.0,2,15.0,0.0
5,92.0,2,3,2,7,1896,101.0,2,17.0,0.0
5,92.0,2,3,2,7,1896,101.0,2,18.0,0.0
5,92.0,2,3,2,7,1896,101.0,2,21.0,0.0
5,92.0,2,3,2,7,1896,101.0,2,21.0,0.0
5,92.0,2,3,2,7,1896,101.0,2,22.0,0.0
5,92.0,2,3,2,7,1896,101.0,2,23.0,0.0
5,92.0,2,3,2,7,1896,101.0,2,24.0,0.0
5,92.0,2,3,2,7,1896,101.0,2,24.0,0.0
5,92.0,2,3,2,7,1896,101.0,2,24.0,0.0
5,92.0,2,3,2,7,1896,101.0,2,24.0,1.0
5,92.0,2,3,2,7,1896,101.0,2,24.0,5.0
5,92.0,2,3,2,7,1896,101.0,2,34.0,0.0
5,92.0,2,3,2,7,1896,101.0,2,34.0,0.0
5,92.0,2,3,2,7,1896,101.0,2,34.0,0.0
5,92.0,2,3,2,7,1896,101.0,2,34.0,0.0
5,92.0,2,3,2,7,1896,101.0,2,34.0,0.0
5,92.0,2,3,2,7,1896,101.0,2,36.0,3.0
5,92.0,2,3,2,7,1896,101.0,2,37.0,0.0
5,92.0,2,3,2,7,1896,101.0,2,39.0,0.0
5,92.0,2,3,2,7,1896,101.0,2,40.0,0.0
5,92.0,2,3,2,7,1896,101.0,2,41.0,0.0
5,92.0,2,3,2,7,1896,101.0,2,42.0,8.0
5,92.0,2,3,2,7,1896,101.0,2,42.0,0.0
5,92.0,2,3,2,7,1896,101.0,2,42.0,0.0
5,92.0,2,3,2,7,1896,101.0,2,43.0,0.0
5,92.0,2,3,2,7,1896,101.0,2,43.0,0.0
5,92.0,2,3,2,7,1896,101.0,2,47.0,0.0
5,92.0,2,3,2,7,1896,101.0,2,48.0,0.0
5,92.0,2,3,2,7,1896,101.0,2,49.0,0.0
5,92.0,2,3,2,7,1896,101.0,2,50.0,0.0
5,92.0,2,3,2,7,1896,101.0,2,50.0,0.0
5,92.0,2,3,2,7,1896,101.0,2,53.0,0.0
5,92.0,2,3,2,7,1896,101.0,2,55.0,0.0
5,92.0,2,3,2,7,1896,101.0,2,56.0,0.0
5,92.0,2,3,2,7,1896,101.0,2,59.0,0.0
5,92.0,2,3,2,7,1896,101.0,2,60.0,0.0
5,92.0,2,3,2,7,1896,101.0,2,60.0,0.0
5,92.0,2,3,2,7,1896,101.0,2,61.0,0.0
5,92.0,2,3,2,7,1896,101.0,2,61.0,0.0
5,92.0,2,3,2,7,1896,101.0,2,63.0,0.0
5,92.0,2,3,2,7,1896,101.0,2,64.0,5.0
5,92.0,2,3,2,7,1896,101.0,2,65.0,0.0
5,92.0,2,3,2,7,1896,101.0,2,67.0,0.0
5,92.0,2,3,2,7,1896,101.0,2,68.0,0.0
5,92.0,2,3,2,7,1896,101.0,2,69.0,0.0
5,92.0,2,3,2,7,1896,101.0,2,72.0,0.0
5,92.0,2,3,2,7,1896,101.0,2,73.0,0.0
5,92.0,2,3,2,7,1896,101.0,2,74.0,2.0
5,92.0,2,3,2,7,1896,101.0,2,80.0,0.0
5,92.0,2,3,2,7,1896,101.0,2,81.0,0.0
5,92.0,2,3,2,7,1896,101.0,2,83.0,0.0
5,92.0,2,3,2,7,1896,101.0,2,83.0,0.0
5,92.0,2,3,2,7,1896,101.0,2,84.0,0.0
5,92.0,2,3,2,7,1896,101.0,2,86.0,2.0
5,92.0,2,3,2,7,1896,101.0,2,87.0,0.0
5,92.0,2,3,2,7,1896,101.0,2,87.0,1.0
5,92.0,2,3,2,7,1896,101.0,2,76.0,43.0
5,92.0,2,3,2,7,1896,101.0,2,75.0,10.0
5,92.0,2,3,2,7,1896,101.0,2,77.0,11.0
6,113.0,2,1,3,6,1896,101.0,2,4.0,0.0
6,113.0,2,1,3,6,1896,101.0,2,4.0,0.0
6,113.0,2,1,3,6,1896,101.0,2,4.0,0.0
6,113.0,2,1,3,6,1896,101.0,2,4.0,4.0
6,113.0,2,1,3,6,1896,101.0,2,4.0,0.0
6,113.0,2,1,3,6,1896,101.0,2,5.0,0.0
6,113.0,2,1,3,6,1896,101.0,2,9.0,12.0
6,113.0,2,1,3,6,1896,101.0,2,10.0,0.0
6,113.0,2,1,3,6,1896,101.0,2,13.0,0.0
6,113.0,2,1,3,6,1896,101.0,2,13.0,0.0
6,113.0,2,1,3,6,1896,101.0,2,14.0,0.0
6,113.0,2,1,3,6,1896,101.0,2,14.0,0.0
6,113.0,2,1,3,6,1896,101.0,2,15.0,0.0
6,113.0,2,1,3,6,1896,101.0,2,17.0,0.0
6,113.0,2,1,3,6,1896,101.0,2,18.0,0.0
6,113.0,2,1,3,6,1896,101.0,2,21.0,0.0
6,113.0,2,1,3,6,1896,101.0,2,21.0,0.0
6,113.0,2,1,3,6,1896,101.0,2,22.0,0.0
6,113.0,2,1,3,6,1896,101.0,2,23.0,0.0
6,113.0,2,1,3,6,1896,101.0,2,24.0,0.0
6,113.0,2,1,3,6,1896,101.0,2,24.0,0.0
6,113.0,2,1,3,6,1896,101.0,2,24.0,0.0
6,113.0,2,1,3,6,1896,101.0,2,24.0,1.0
6,113.0,2,1,3,6,1896,101.0,2,24.0,5.0
6,113.0,2,1,3,6,1896,101.0,2,34.0,0.0
6,113.0,2,1,3,6,1896,101.0,2,34.0,0.0
6,113.0,2,1,3,6,1896,101.0,2,34.0,0.0
6,113.0,2,1,3,6,1896,101.0,2,34.0,0.0
6,113.0,2,1,3,6,1896,101.0,2,34.0,0.0
6,113.0,2,1,3,6,1896,101.0,2,36.0,3.0
6,113.0,2,1,3,6,1896,101.0,2,37.0,0.0
6,113.0,2,1,3,6,1896,101.0,2,39.0,0.0
6,113.0,2,1,3,6,1896,101.0,2,40.0,0.0
6,113.0,2,1,3,6,1896,101.0,2,41.0,0.0
6,113.0,2,1,3,6,1896,101.0,2,42.0,8.0
6,113.0,2,1,3,6,1896,101.0,2,42.0,0.0
6,113.0,2,1,3,6,1896,101.0,2,42.0,0.0
6,113.0,2,1,3,6,1896,101.0,2,43.0,0.0
6,113.0,2,1,3,6,1896,101.0,2,43.0,0.0
6,113.0,2,1,3,6,1896,101.0,2,47.0,0.0
6,113.0,2,1,3,6,1896,101.0,2,48.0,0.0
6,113.0,2,1,3,6,1896,101.0,2,49.0,0.0
6,113.0,2,1,3,6,1896,101.0,2,50.0,0.0
6,113.0,2,1,3,6,1896,101.0,2,50.0,0.0
6,113.0,2,1,3,6,1896,101.0,2,53.0,0.0
6,113.0,2,1,3,6,1896,101.0,2,55.0,0.0
6,113.0,2,1,3,6,1896,101.0,2,56.0,0.0
6,113.0,2,1,3,6,1896,101.0,2,59.0,0.0
6,113.0,2,1,3,6,1896,101.0,2,60.0,0.0
6,113.0,2,1,3,6,1896,101.0,2,60.0,0.0
6,113.0,2,1,3,6,1896,101.0,2,61.0,0.0
6,113.0,2,1,3,6,1896,101.0,2,61.0,0.0
6,113.0,2,1,3,6,1896,101.0,2,63.0,0.0
6,113.0,2,1,3,6,1896,101.0,2,64.0,5.0
6,113.0,2,1,3,6,1896,101.0,2,65.0,0.0
6,113.0,2,1,3,6,1896,101.0,2,67.0,0.0
6,113.0,2,1,3,6,1896,101.0,2,68.0,0.0
6,113.0,2,1,3,6,1896,101.0,2,69.0,0.0
6,113.0,2,1,3,6,1896,101.0,2,72.0,0.0
6,113.0,2,1,3,6,1896,101.0,2,73.0,0.0
6,113.0,2,1,3,6,1896,101.0,2,74.0,2.0
6,113.0,2,1,3,6,1896,101.0,2,80.0,0.0
6,113.0,2,1,3,6,1896,101.0,2,81.0,0.0
6,113.0,2,1,3,6,1896,101.0,2,83.0,0.0
6,113.0,2,1,3,6,1896,101.0,2,83.0,0.0
6,113.0,2,1,3,6,1896,101.0,2,84.0,0.0
6,113.0,2,1,3,6,1896,101.0,2,86.0,2.0
6,113.0,2,1,3,6,1896,101.0,2,87.0,0.0
6,113.0,2,1,3,6,1896,101.0,2,87.0,1.0
6,113.0,2,1,3,6,1896,101.0,2,76.0,43.0
6,113.0,2,1,3,6,1896,101.0,2,75.0,10.0
6,113.0,2,1,3,6,1896,101.0,2,77.0,11.0
7,15.0,2,1,2,5,1896,101.0,2,4.0,0.0
7,15.0,2,1,2,5,1896,101.0,2,4.0,0.0
7,15.0,2,1,2,5,1896,101.0,2,4.0,0.0
7,15.0,2,1,2,5,1896,101.0,2,4.0,4.0
7,15.0,2,1,2,5,1896,101.0,2,4.0,0.0
7,15.0,2,1,2,5,1896,101.0,2,5.0,0.0
7,15.0,2,1,2,5,1896,101.0,2,9.0,12.0
7,15.0,2,1,2,5,1896,101.0,2,10.0,0.0
7,15.0,2,1,2,5,1896,101.0,2,13.0,0.0
7,15.0,2,1,2,5,1896,101.0,2,13.0,0.0
7,15.0,2,1,2,5,1896,101.0,2,14.0,0.0
7,15.0,2,1,2,5,1896,101.0,2,14.0,0.0
7,15.0,2,1,2,5,1896,101.0,2,15.0,0.0
7,15.0,2,1,2,5,1896,101.0,2,17.0,0.0
7,15.0,2,1,2,5,1896,101.0,2,18.0,0.0
7,15.0,2,1,2,5,1896,101.0,2,21.0,0.0
