Rank,NOC,Gold,Silver,Bronze,Total,Year
6,242.0,7,3,3,13,1952
7,87.0,6,6,6,18,1952
8,85.0,6,3,13,22,1952
9,14.0,6,2,3,11,1952
10,186.0,3,2,0,5,1952
11,50.0,2,6,6,14,1952
12,279.0,2,4,4,10,1952
13,127.0,2,3,0,5,1952
14,21.0,2,2,0,4,1952
15,72.0,2,1,3,6,1952
16,254.0,2,0,1,3,1952
17,129.0,1,6,2,9,1952
18,92.0,1,2,8,11,1952
19,10.0,1,2,2,5,1952
20,199.0,1,2,1,4,1952
21,45.0,1,2,0,3,1952
21,278.0,1,2,0,3,1952
23,210.0,1,1,2,4,1952
24,35.0,1,0,2,3,1952
24,188.0,1,0,2,3,1952
26,116.0,1,0,1,2,1952
27,150.0,1,0,0,1,1952
28,69.0,0,7,17,24,1952
29,178.0,0,5,0,5,1952
30,118.0,0,3,4,7,1952
31,52.0,0,2,0,2,1952
32,15.0,0,1,1,2,1952
32,142.0,0,1,1,2,1952
34,119.0,0,1,0,1,1952
34,159.0,0,1,0,1,1952
34,80.0,0,1,0,1,1952
37,134.0,0,0,2,2,1952
37,252.0,0,0,2,2,1952
37,264.0,0,0,2,2,1952
40,39.0,0,0,1,1,1952
40,76.0,0,0,1,1,1952
40,203.0,0,0,1,1,1952
40,269.0,0,0,1,1,1952
1,262.0,37,29,32,98,1956
2,265.0,32,25,17,74,1956
3,14.0,13,8,14,35,1956
4,113.0,9,10,7,26,1956
5,124.0,8,8,9,25,1956
6,238.0,8,5,6,19,1956
7,94.0,6,13,7,26,1956
8,92.0,6,7,11,24,1956
9,210.0,5,3,5,13,1956
10,129.0,4,10,5,19,1956
11,87.0,4,4,6,14,1956
12,254.0,3,2,2,7,1956
13,85.0,3,1,11,15,1956
14,118.0,2,2,1,5,1956
15,45.0,2,1,3,6,1956
16,188.0,2,0,0,2,1956
17,199.0,1,4,4,9,1956
18,242.0,1,4,1,6,1956
19,39.0,1,3,1,5,1956
20,72.0,1,2,1,4,1956
21,119.0,1,1,3,5,1956
22,186.0,1,0,2,3,1956
23,159.0,1,0,1,2,1956
24,35.0,1,0,0,1,1956
24,116.0,1,0,0,1,1956
26,278.0,0,3,0,3,1956
27,52.0,0,2,2,4,1956
28,21.0,0,2,0,2,1956
29,10.0,0,1,1,2,1956
29,134.0,0,1,1,2,1956
31,121.0,0,1,0,1,1956
31,191.0,0,1,0,1,1956
33,279.0,0,0,4,4,1956
34,15.0,0,0,2,2,1956
35,26.0,0,0,1,1,1956
35,99.0,0,0,1,1,1956
35,50.0,0,0,1,1,1956
35,264.0,0,0,1,1,1956
1,262.0,43,29,31,103,1960
2,265.0,34,21,16,71,1960
3,124.0,13,10,13,36,1960
4,94.0,12,19,11,42,1960
5,14.0,8,8,6,22,1960
6,254.0,7,2,0,9,1960
7,113.0,6,8,7,21,1960
8,129.0,4,7,7,18,1960
9,199.0,4,6,11,21,1960
10,242.0,3,2,3,8,1960
11,210.0,3,1,6,10,1960
12,92.0,2,6,12,20,1960
13,68.0,2,3,1,6,1960
14,188.0,2,0,1,3,1960
15,39.0,1,3,3,7,1960
16,238.0,1,2,3,6,1960
17,85.0,1,1,3,5,1960
18,15.0,1,1,0,2,1960
18,278.0,1,1,0,2,1960
20,191.0,1,0,1,2,1960
21,82.0,1,0,0,1,1960
21,101.0,1,0,0,1,1960
21,186.0,1,0,0,1,1960
24,234.0,0,3,3,6,1960
25,87.0,0,2,3,5,1960
26,21.0,0,2,2,4,1960
27,118.0,0,1,3,4,1960
28,178.0,0,1,2,3,1960
28,211.0,0,1,2,3,1960
30,10.0,0,1,1,2,1960
30,76.0,0,1,1,2,1960
32,45.0,0,1,0,1,1960
32,251.0,0,1,0,1,1960
32,98.0,0,1,0,1,1960
32,116.0,0,1,0,1,1960
32,154.0,0,1,0,1,1960
32,203.0,0,1,0,1,1960
32,221.0,0,1,0,1,1960
39,35.0,0,0,2,2,1960
39,42.0,0,0,2,2,1960
41,120.0,0,0,1,1,1960
41,159.0,0,0,1,1,1960
41,80.0,0,0,1,1,1960
41,269.0,0,0,1,1,1960
1,265.0,36,26,28,90,1964
2,262.0,30,31,35,96,1964
3,129.0,16,5,8,29,1964
4,94.0,10,22,18,50,1964
5,124.0,10,10,7,27,1964
6,113.0,10,7,5,22,1964
7,199.0,7,6,10,23,1964
8,14.0,6,2,10,18,1964
9,242.0,5,6,3,14,1964
10,92.0,4,12,2,18,1964
11,39.0,3,5,2,10,1964
12,85.0,3,0,2,5,1964
12,188.0,3,0,2,5,1964
14,210.0,2,4,6,12,1964
15,178.0,2,4,4,10,1964
16,254.0,2,3,1,6,1964
17,238.0,2,2,4,8,1964
18,72.0,2,1,3,6,1964
19,278.0,2,1,2,5,1964
20,21.0,2,0,1,3,1964
21,87.0,1,8,6,15,1964
22,45.0,1,2,1,4,1964
22,50.0,1,2,1,4,1964
24,26.0,1,0,0,1,1964
24,82.0,1,0,0,1,1964
24,116.0,1,0,0,1,1964
27,134.0,0,2,1,3,1964
28,252.0,0,1,2,3,1964
29,253.0,0,1,1,2,1964
30,10.0,0,1,0,1,1964
30,65.0,0,1,0,1,1964
30,191.0,0,1,0,1,1964
30,195.0,0,1,0,1,1964
34,118.0,0,0,2,2,1964
35,35.0,0,0,1,1,1964
35,98.0,0,0,1,1,1964
35,119.0,0,0,1,1,1964
35,131.0,0,0,1,1,1964
35,159.0,0,0,1,1,1964
35,182.0,0,0,1,1,1964
35,264.0,0,0,1,1,1964
1,265.0,45,28,34,107,1968
2,262.0,29,32,30,91,1968
3,129.0,11,7,7,25,1968
4,113.0,10,10,12,32,1968
5,94.0,9,9,7,25,1968
6,87.0,7,3,5,15,1968
7,242.0,7,2,4,13,1968
8,88.0,5,11,10,26,1968
9,14.0,5,7,5,17,1968
10,92.0,5,5,3,13,1968
11,199.0,5,2,11,18,1968
12,210.0,4,6,5,15,1968
13,124.0,3,4,9,16,1968
14,131.0,3,4,2,9,1968
15,159.0,3,3,3,9,1968
16,278.0,3,3,2,8,1968
17,178.0,3,3,1,7,1968
18,39.0,2,4,3,9,1968
19,118.0,2,1,2,5,1968
20,238.0,2,1,1,4,1968
21,254.0,2,0,0,2,1968
22,72.0,1,4,3,8,1968
23,45.0,1,3,1,5,1968
24,85.0,1,2,1,4,1968
25,82.0,1,1,0,2,1968
25,186.0,1,1,0,2,1968
27,188.0,1,0,2,3,1968
28,253.0,1,0,1,2,1968
29,191.0,1,0,0,1,1968
29,269.0,1,0,0,1,1968
31,65.0,0,4,0,4,1968
32,15.0,0,2,2,4,1968
33,50.0,0,1,4,5,1968
34,167.0,0,1,3,4,1968
35,35.0,0,1,2,3,1968
36,21.0,0,1,1,2,1968
36,134.0,0,1,1,2,1968
36,259.0,0,1,1,2,1968
39,55.0,0,1,0,1,1968
39,127.0,0,1,0,1,1968
41,10.0,0,0,2,2,1968
42,99.0,0,0,1,1,1968
42,116.0,0,0,1,1,1968
42,256.0,0,0,1,1,1968
1,262.0,50,27,22,99,1972
2,265.0,33,31,30,94,1972
3,94.0,20,23,23,66,1972
4,88.0,13,11,16,40,1972
5,129.0,13,8,8,29,1972
6,14.0,8,7,2,17,1972
7,199.0,7,5,9,21,1972
8,113.0,6,13,16,35,1972
9,39.0,6,10,5,21,1972
10,124.0,5,3,10,18,1972
11,238.0,4,6,6,16,1972
12,92.0,4,5,9,18,1972
13,210.0,3,6,7,16,1972
14,65.0,3,1,4,8,1972
14,85.0,3,1,4,8,1972
16,178.0,3,1,1,5,1972
17,87.0,2,4,7,13,1972
18,242.0,2,4,2,8,1972
19,131.0,2,3,4,9,1972
20,278.0,2,1,2,5,1972
21,186.0,2,1,1,4,1972
22,202.0,1,1,3,5,1972
23,188.0,1,1,1,3,1972
24,259.0,1,1,0,2,1972
25,72.0,1,0,0,1,1972
26,50.0,0,3,0,3,1972
27,45.0,0,2,3,5,1972
28,118.0,0,2,1,3,1972
29,21.0,0,2,0,2,1972
29,99.0,0,2,0,2,1972
31,15.0,0,1,2,3,1972
31,58.0,0,1,2,3,1972
33,10.0,0,1,0,1,1972
33,142.0,0,1,0,1,1972
33,159.0,0,1,0,1,1972
33,167.0,0,1,0,1,1972
33,191.0,0,1,0,1,1972
33,134.0,0,1,0,1,1972
33,253.0,0,1,0,1,1972
33,254.0,0,1,0,1,1972
41,35.0,0,0,2,2,1972
41,82.0,0,0,2,2,1972
43,98.0,0,0,1,1,1972
43,116.0,0,0,1,1,1972
43,127.0,0,0,1,1,1972
43,180.0,0,0,1,1,1972
43,182.0,0,0,1,1,1972
43,80.0,0,0,1,1,1972
1,262.0,49,41,35,125,1976
2,94.0,40,25,25,90,1976
3,265.0,34,35,25,94,1976
4,88.0,10,12,17,39,1976
5,129.0,9,6,10,25,1976
6,199.0,7,6,13,26,1976
7,39.0,6,9,7,22,1976
8,65.0,6,4,3,13,1976
9,210.0,4,9,14,27,1976
10,113.0,4,5,13,22,1976
11,85.0,4,2,0,6,1976
12,238.0,4,1,0,5,1976
13,92.0,3,5,5,13,1976
14,124.0,2,7,4,13,1976
15,87.0,2,3,4,9,1976
16,278.0,2,3,3,8,1976
17,242.0,2,2,4,8,1976
18,188.0,2,1,1,4,1976
19,134.0,1,1,4,6,1976
20,50.0,1,1,2,4,1976
21,127.0,1,1,0,2,1976
21,202.0,1,1,0,2,1976
21,186.0,1,1,0,2,1976
24,72.0,1,0,2,3,1976
25,159.0,1,0,1,2,1976
26,252.0,1,0,0,1,1976
27,45.0,0,5,6,11,1976
28,21.0,0,3,3,6,1976
29,178.0,0,2,3,5,1976
30,203.0,0,2,0,2,1976
30,80.0,0,2,0,2,1976
32,14.0,0,1,4,5,1976
33,118.0,0,1,1,2,1976
34,167.0,0,1,0,1,1976
34,269.0,0,1,0,1,1976
36,35.0,0,0,2,2,1976
37,15.0,0,0,1,1,1976
37,31.0,0,0,1,1,1976
37,191.0,0,0,1,1,1976
37,201.0,0,0,1,1,1976
37,245.0,0,0,1,1,1976
1,262.0,80,69,46,195,1980
2,94.0,47,37,42,126,1980
3,39.0,8,16,17,41,1980
4,65.0,8,7,5,20,1980
5,124.0,8,3,4,15,1980
6,113.0,7,10,15,32,1980
7,210.0,6,6,13,25,1980
8,87.0,6,5,3,14,1980
9,92.0,5,7,9,21,1980
10,199.0,3,14,15,32,1980
11,238.0,3,3,6,12,1980
12,85.0,3,1,4,8,1980
13,242.0,2,3,9,14,1980
14,278.0,2,3,4,9,1980
15,14.0,2,2,5,9,1980
16,72.0,2,1,2,5,1980
17,35.0,2,0,2,4,1980
17,82.0,2,0,2,4,1980
19,50.0,2,0,0,2,1980
20,80.0,1,3,2,6,1980
21,15.0,1,2,1,4,1980
22,99.0,1,0,2,3,1980
23,21.0,1,0,0,1,1980
23,116.0,1,0,0,1,1980
23,283.0,1,0,0,1,1980
26,202.0,0,3,2,5,1980
27,167.0,0,2,2,4,1980
28,241.0,0,2,0,2,1980
29,159.0,0,1,3,4,1980
30,178.0,0,1,2,3,1980
31,119.0,0,1,1,2,1980
32,259.0,0,1,0,1,1980
32,269.0,0,1,0,1,1980
34,127.0,0,0,3,3,1980
35,107.0,0,0,1,1,1980
35,142.0,0,0,1,1,1980
1,265.0,83,61,30,174,1984
2,210.0,20,16,17,53,1984
3,88.0,17,19,23,59,1984
4,53.0,15,8,9,32,1984
5,124.0,14,6,12,32,1984
6,45.0,10,18,16,44,1984
7,129.0,10,8,14,32,1984
8,188.0,8,1,2,11,1984
9,278.0,7,4,7,18,1984
10,134.0,6,6,7,19,1984
11,92.0,5,11,21,37,1984
12,87.0,5,7,16,28,1984
13,178.0,5,2,6,13,1984
14,14.0,4,8,12,24,1984
15,85.0,4,2,6,12,1984
16,238.0,2,11,6,19,1984
17,159.0,2,3,1,6,1984
18,154.0,2,0,0,2,1984
19,35.0,1,5,2,8,1984
20,80.0,1,2,2,5,1984
21,21.0,1,1,2,4,1984
22,15.0,1,1,1,3,1984
23,131.0,1,0,2,3,1984
23,203.0,1,0,2,3,1984
25,191.0,1,0,0,1,1984
26,50.0,0,4,4,8,1984
27,72.0,0,3,3,6,1984
28,127.0,0,1,2,3,1984
28,186.0,0,1,2,3,1984
30,99.0,0,1,1,2,1984
30,182.0,0,1,1,2,1984
30,201.0,0,1,1,2,1984
33,58.0,0,1,0,1,1984
33,76.0,0,1,0,1,1984
33,119.0,0,1,0,1,1984
33,54.0,0,1,0,1,1984
33,194.0,0,1,0,1,1984
33,240.0,0,1,0,1,1984
33,245.0,0,1,0,1,1984
40,254.0,0,0,3,3,1984
40,269.0,0,0,3,3,1984
42,74.0,0,0,2,2,1984
43,55.0,0,0,1,1,1984
43,251.0,0,0,1,1,1984
43,73.0,0,0,1,1,1984
43,121.0,0,0,1,1,1984
43,282.0,0,0,1,1,1984
1,262.0,55,31,46,132,1988
2,94.0,37,35,30,102,1988
3,265.0,36,31,27,94,1988
4,134.0,12,10,11,33,1988
5,88.0,11,14,15,40,1988
6,113.0,11,6,6,23,1988
7,39.0,10,12,13,35,1988
8,210.0,7,11,6,24,1988
9,87.0,6,4,6,16,1988
10,124.0,6,4,4,14,1988
11,53.0,5,11,12,28,1988
12,92.0,5,10,9,24,1988
13,131.0,5,2,2,9,1988
14,129.0,4,3,7,14,1988
15,14.0,3,6,5,14,1988
16,278.0,3,4,5,12,1988
17,242.0,3,3,2,8,1988
18,188.0,3,2,8,13,1988
19,45.0,3,2,5,10,1988
20,199.0,2,5,9,16,1988
21,186.0,2,3,0,5,1988
22,178.0,2,2,5,9,1988
23,72.0,2,1,1,4,1988
24,35.0,1,2,3,6,1988
25,85.0,1,1,2,4,1988
25,80.0,1,1,2,4,1988
27,254.0,1,1,0,2,1988
28,154.0,1,0,2,3,1988
29,15.0,1,0,0,1,1988
29,203.0,1,0,0,1,1988
29,235.0,1,0,0,1,1988
32,238.0,0,4,7,11,1988
33,50.0,0,2,2,4,1988
34,127.0,0,2,0,2,1988
35,10.0,0,1,1,2,1988
36,52.0,0,1,0,1,1988
36,62.0,0,1,0,1,1988
36,114.0,0,1,0,1,1988
36,118.0,0,1,0,1,1988
36,177.0,0,1,0,1,1988
36,194.0,0,1,0,1,1988
36,219.0,0,1,0,1,1988
36,270.0,0,1,0,1,1988
44,21.0,0,0,2,2,1988
44,159.0,0,0,2,2,1988
46,58.0,0,0,1,1,1988
46,70.0,0,0,1,1,1988
46,99.0,0,0,1,1,1988
46,167.0,0,0,1,1,1988
46,191.0,0,0,1,1,1988
46,195.0,0,0,1,1,1988
46,245.0,0,0,1,1,1988
1,267.0,45,38,29,112,1992
2,265.0,37,34,37,108,1992
3,69.0,33,21,28,82,1992
4,53.0,16,22,16,54,1992
5,65.0,14,6,11,31,1992
6,80.0,13,7,2,22,1992
7,134.0,12,5,12,29,1992
8,113.0,11,12,7,30,1992
9,87.0,8,5,16,29,1992
10,14.0,7,9,11,27,1992
11,45.0,7,4,7,18,1992
12,124.0,6,5,8,19,1992
13,92.0,5,3,12,20,1992
14,210.0,4,6,8,18,1992
15,242.0,4,2,1,7,1992
16,202.0,4,0,5,9,1992
17,129.0,3,8,11,22,1992
18,39.0,3,7,6,16,1992
19,199.0,3,6,10,19,1992
20,178.0,2,6,7,15,1992
21,131.0,2,4,2,8,1992
22,186.0,2,4,1,7,1992
23,254.0,2,2,2,6,1992
24,114.0,2,2,1,5,1992
25,35.0,2,1,0,3,1992
26,99.0,2,0,0,2,1992
27,238.0,1,7,4,12,1992
28,188.0,1,4,5,10,1992
29,85.0,1,2,2,5,1992
30,72.0,1,1,4,6,1992
31,154.0,1,1,1,3,1992
32,119.0,1,1,0,2,1992
33,82.0,1,0,2,3,1992
34,74.0,1,0,1,2,1992
34,81.0,1,0,1,2,1992
34,149.0,1,0,1,2,1992
37,50.0,1,0,0,1,1992
38,127.0,0,3,1,4,1992
38,182.0,0,3,1,4,1992
40,151.0,0,2,1,3,1992
41,15.0,0,2,0,2,1992
41,175.0,0,2,0,2,1992
41,279.0,0,2,0,2,1992
44,21.0,0,1,2,3,1992
44,111.0,0,1,2,3,1992
44,126.0,0,1,2,3,1992
44,118.0,0,1,2,3,1992
48,122.0,0,1,1,2,1992
49,251.0,0,1,0,1,1992
49,159.0,0,1,0,1,1992
49,194.0,0,1,0,1,1992
52,167.0,0,0,2,2,1992
52,237.0,0,0,2,2,1992
54,10.0,0,0,1,1,1992
54,26.0,0,0,1,1,1992
54,58.0,0,0,1,1,1992
54,98.0,0,0,1,1,1992
54,174.0,0,0,1,1,1992
54,191.0,0,0,1,1,1992
54,195.0,0,0,1,1,1992
54,201.0,0,0,1,1,1992
54,206.0,0,0,1,1,1992
54,235.0,0,0,1,1,1992
54,245.0,0,0,1,1,1992
1,265.0,44,32,25,101,1996
2,212.0,26,21,16,63,1996
3,69.0,20,18,27,65,1996
4,53.0,16,22,12,50,1996
5,87.0,15,7,15,37,1996
6,124.0,13,10,12,35,1996
7,14.0,9,9,23,41,1996
8,65.0,9,8,8,25,1996
9,260.0,9,2,12,23,1996
10,134.0,7,15,5,27,1996
11,199.0,7,5,5,17,1996
12,113.0,7,4,10,21,1996
13,80.0,5,6,6,17,1996
14,210.0,4,7,9,20,1996
15,178.0,4,5,10,19,1996
16,99.0,4,4,0,8,1996
17,67.0,4,3,4,11,1996
18,50.0,4,3,0,7,1996
19,72.0,4,1,1,6,1996
19,254.0,4,1,1,6,1996
21,45.0,3,11,8,22,1996
22,39.0,3,7,5,15,1996
23,129.0,3,6,5,14,1996
24,130.0,3,4,4,11,1996
25,35.0,3,3,9,15,1996
26,188.0,3,2,1,6,1996
27,279.0,3,1,1,5,1996
28,119.0,3,0,1,4,1996
29,238.0,2,4,2,8,1996
30,186.0,2,2,3,7,1996
31,21.0,2,2,2,6,1996
32,182.0,2,1,3,6,1996
33,202.0,2,1,2,5,1996
34,74.0,2,0,1,3,1996
34,82.0,2,0,1,3,1996
36,92.0,1,8,6,15,1996
37,30.0,1,6,8,15,1996
38,131.0,1,4,3,8,1996
39,127.0,1,3,2,6,1996
40,85.0,1,2,1,4,1996
41,278.0,1,1,2,4,1996
41,114.0,1,1,2,4,1996
43,118.0,1,1,1,3,1996
43,236.0,1,1,1,3,1996
45,11.0,1,1,0,2,1996
45,111.0,1,1,0,2,1996
47,203.0,1,0,1,2,1996
47,245.0,1,0,1,2,1996
49,20.0,1,0,0,1,1996
49,62.0,1,0,0,1,1996
49,75.0,1,0,0,1,1996
49,109.0,1,0,0,1,1996
49,240.0,1,0,0,1,1996
54,10.0,0,2,1,3,1996
55,175.0,0,2,0,2,1996
55,237.0,0,2,0,2,1996
57,15.0,0,1,2,3,1996
58,174.0,0,1,1,2,1996
58,157.0,0,1,1,2,1996
58,266.0,0,1,1,2,1996
61,16.0,0,1,0,1,1996
